1.181,0.347,0.786,1.122,0.003,0.393,0.677,0.435,0.836,0.719,0.418,1.015,0.949,0.684,1.047,0.222,0.032,0.616,0.538,0.841,0.946,0.848,1.073,0.722,1.002,1,0.995,0.92,0.906,0.77,0.593,0.735,0.432,0.771,0.676
0.169,0.162,0.446,0.32,NaN,0.035,0.261,0.04,0.381,0.021,0.879,0.108,0.691,0.984,0.996,1.101,0.616,0.388,0.359,1.021,0.619,0.711,1.004,1.1,0.883,0.784,0.911,1.014,0.94,1.002,0.955,0.62,1.103,1.033,1.088
NaN,0.335,0.66,NaN,NaN,NaN,0.705,0.575,0.678,0.563,0.27,0.528,0.56,1.084,0.997,0.869,0.815,0.747,0.084,0.97,0.767,0.586,0.595,0.798,0.895,1.088,1.074,0.786,0.57,0.851,0.765,0.739,1.117,0.881,0.631
0.65,0.05,0.5,0.905,0.185,0.317,0.78,0.119,NaN,NaN,0.526,0.808,0.55,0.853,0.848,1.026,0.515,0.598,0.416,1.277,0.971,0.694,0.621,0.756,0.981,0.997,1.12,0.446,0.854,1.104,0.82,0.959,0.594,0.747,1.047
NaN,NaN,0.873,0.818,0.021,NaN,NaN,0.792,0.999,0.033,1.054,NaN,0.015,0.794,1.052,0.606,NaN,0.348,NaN,0.228,0.866,0.881,1.054,0.62,0.765,0.625,1.047,1.101,0.616,0.745,0.955,1.045,0.866,1.119,0.789
0.341,0.1,0.399,0.108,0.01,0.026,0.005,NaN,NaN,0.723,0.76,0.01,0.195,0.025,0.251,1.093,1.048,0.457,0.579,0.145,1.009,0.853,0.573,0.793,0.641,0.852,0.564,0.634,0.683,1.12,0.81,0.595,0.847,0.7,0.804
0.087,0.323,0.012,0.55,0.352,0.063,1.252,0.864,1.379,0.906,1.13,0.845,0.037,0.944,1.221,0.817,1.215,0.777,0.622,1.054,0.968,0.571,0.649,0.933,0.935,0.649,0.631,0.777,0.959,0.934,0.802,1.114,0.471,0.883,0.914
0.302,0.139,NaN,0.922,0.196,0.495,NaN,0.807,0.336,0.893,0.005,0.87,0.452,NaN,0.083,NaN,1.008,0.765,0.619,0.959,0.882,0.692,0.854,0.674,0.92,0.812,0.974,0.842,0.825,0.848,1.104,0.934,0.781,0.649,0.841
1.01,0.168,NaN,0.907,NaN,0.528,1.297,0.171,0.694,0.606,0.941,0.278,0.048,0.727,0.811,0.548,1.115,0.385,0.485,0.058,1.099,0.545,0.631,0.748,0.937,0.706,0.905,0.828,0.595,0.641,0.859,1.106,1.118,0.929,0.705
1.055,0.321,NaN,0.517,0.797,1.079,1.06,0.657,1.1,0.696,0.842,0.009,0.598,0.296,0.484,NaN,0.056,0.213,0.453,0.381,0.742,0.773,0.619,0.854,0.659,0.549,0.777,0.591,1.006,0.846,1.03,0.693,0.887,1.043,0.945
